uint32 SIZE,uint32 SF,uint32 BAD_WIDTH,uint32 CODE_RATE,uint64 TIMESTAMP,string PHY_PAYLOAD
68,7,125,5,1504882406,40D12B012600EA4A019BC028E29A944EF8213C2CF1F2324C7644273CFC44799B5A1A
68,7,125,5,1504882474,40D12B012600EB4A01A60D3B568041E31069BDE223D5E84F549D9E9B66A711707D40
68,7,125,5,1504882610,40D12B012600ED4A018CAC67F0A3B07FCFA8C83CB2CD055B842209FCB6AD7EC8E46F
68,7,125,5,1504882678,40D12B012600EE4A010989E2BADF8AE2DEE7A82F1DE5212F9B9DCA85554AFE730B0A
68,7,125,5,1504882746,40D12B012600EF4A01F483AF4543D67F1A4DA89D0E56C47B49F788473E9075807417
68,7,125,5,1504882950,40D12B012600F24A019E3D92BD6F3283FB331BCD3AA088622D82132476483478F2B2
68,7,125,5,1504883018,40D12B012600F34A0155DDEED03C453EFA7439FE711045293D085C4FB7BAE2E0E563
68,7,125,5,1504883086,40D12B012600F44A01906E22A596D4DEBA6274A34F874E35ABC56A1C048DBC89FD8E
68,7,125,5,1504883154,40D12B012600F54A01DAC82CA8736C6AD6E0F547C47B4D70F8FD264B17FB5E17EDED
68,7,125,5,1504883290,40D12B012600F74A0145F9178D4D94376A201F187E332CC589521A39F79348FD1A2D
68,7,125,5,1504883426,40D12B012600F94A012E71CC2AFE434303D2CCA8BE01F8985B9D0AEB75CD6406410B
68,7,125,5,1504883494,40D12B012600FA4A0111841323D93FC7FEFB3DE5600A3F4ED1B020847AB4A20B65FD
68,7,125,5,1504883562,40D12B012600FB4A01B1E5E8CB86A56D7724214C2193ED61340E9FED23009B9803C2
68,7,125,5,1504883630,40D12B012600FC4A0150F826E75B1F4CE43AF111CFEB742E07BBDC8CFFEF7227BCE2
68,7,125,5,1504883698,40D12B012600FD4A0174F47EF697F7B9CB3B3DEF33083C0966E27787C231E75A502A
68,7,125,5,1504883766,40D12B012600FE4A01C31B08A5B7E64980D8EABB981A5C3FC13E851A24CA56C5617D
68,7,125,5,1504883834,40D12B012600FF4A01A39906C67082E41EC869FC17CF50F3B625FC793AA484E41503
